rank,feature_id,token,active_mean_base,active_mean_chat,active_mean_diff,link
72,33046,newline,3.7265625,0.0,-3.7265625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/33046
40,134,endheader,3.71875,0.0,-3.71875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/134
39,12295,endheader,3.71875,0.0,-3.71875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/12295
56,134,asst,3.71875,0.0,-3.71875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/134
73,61882,newline,3.71875,0.0,-3.71875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/61882
74,134,newline,3.71875,0.0,-3.71875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/134
57,104261,asst,3.703125,0.0,-3.703125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/104261
41,104261,endheader,3.703125,0.0,-3.703125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/104261
75,104261,newline,3.703125,0.0,-3.703125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/104261
76,107533,newline,3.701204538345337,0.0,-3.701204538345337,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/107533
42,39075,endheader,3.6875,0.0,-3.6875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/39075
77,45993,newline,3.6875,0.0,-3.6875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/45993
78,94949,newline,3.6875,0.0,-3.6875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/94949
79,61563,newline,3.671875,0.0,-3.671875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/61563
58,6297,asst,3.671875,0.0,-3.671875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/6297
59,16420,asst,3.6640625,0.0,-3.6640625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/16420
80,117905,newline,3.660130023956299,0.0,-3.660130023956299,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/117905
61,57334,asst,3.65625,0.0,-3.65625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/57334
60,59514,asst,3.65625,0.0,-3.65625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/59514
62,20276,asst,3.6458332538604736,0.0,-3.6458332538604736,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/20276
81,108916,newline,3.640625,0.0,-3.640625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/108916
63,108916,asst,3.640625,0.0,-3.640625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/108916
43,108916,endheader,3.640625,0.0,-3.640625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/108916
44,97377,endheader,6.15625,2.544224262237549,-3.612025737762451,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/97377
64,42275,asst,3.611205577850342,0.0,-3.611205577850342,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/42275
65,93233,asst,3.609375,0.0,-3.609375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/93233
66,113559,asst,3.609375,0.0,-3.609375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/113559
67,86369,asst,6.46875,2.875,-3.59375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/86369
82,86369,newline,6.46875,2.875,-3.59375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/86369
45,86369,endheader,6.46875,2.875,-3.59375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/86369
46,113257,endheader,3.584657669067383,0.0,-3.584657669067383,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/113257
68,33376,asst,3.578125,0.0,-3.578125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/33376
83,124648,newline,3.578125,0.0,-3.578125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/124648
85,33376,newline,3.578125,0.0,-3.578125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/33376
47,33376,endheader,3.578125,0.0,-3.578125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/33376
84,22951,newline,3.578125,0.0,-3.578125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/22951
86,69259,newline,3.5703125,0.0,-3.5703125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/69259
69,116838,asst,3.569140672683716,0.0,-3.569140672683716,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/116838
48,125008,endheader,3.5600454807281494,0.0,-3.5600454807281494,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/125008
