rank,feature_id,token,active_mean_base,active_mean_chat,active_mean_diff,active_mean_ratio,model_type,sae_layer,sae_trainer
100,104758,endheader,0.0,3.4479167461395264,3.4479167461395264,inf,llama,15,32x
54,46077,asst,0.0,3.4296875,3.4296875,inf,llama,15,32x
55,31432,asst,0.0,3.420978546142578,3.420978546142578,inf,llama,15,32x
56,36589,asst,2.9232177734375,6.331730842590332,3.408513069152832,2.1660140753539063,llama,15,32x
57,80915,asst,0.0,3.40625,3.40625,inf,llama,15,32x
58,107571,asst,0.0,3.375,3.375,inf,llama,15,32x
59,104758,asst,0.0,3.356250047683716,3.356250047683716,inf,llama,15,32x
61,56757,asst,0.0,3.34375,3.34375,inf,llama,15,32x
60,82277,asst,0.0,3.34375,3.34375,inf,llama,15,32x
62,111603,asst,0.0,3.3125,3.3125,inf,llama,15,32x
63,64225,asst,0.0,3.28125,3.28125,inf,llama,15,32x
64,16741,asst,0.0,3.265625,3.265625,inf,llama,15,32x
65,115667,asst,0.0,3.25,3.25,inf,llama,15,32x
66,27281,asst,0.0,3.25,3.25,inf,llama,15,32x
67,71044,asst,0.0,3.234375,3.234375,inf,llama,15,32x
69,5454,asst,0.0,3.21875,3.21875,inf,llama,15,32x
68,56862,asst,0.0,3.21875,3.21875,inf,llama,15,32x
70,93155,asst,0.0,3.1927082538604736,3.1927082538604736,inf,llama,15,32x
71,65054,asst,0.0,3.140625,3.140625,inf,llama,15,32x
72,87803,asst,0.0,3.140625,3.140625,inf,llama,15,32x
73,105983,asst,0.0,3.125,3.125,inf,llama,15,32x
75,67516,asst,0.0,3.078125,3.078125,inf,llama,15,32x
74,70588,asst,0.0,3.078125,3.078125,inf,llama,15,32x
77,120675,asst,0.0,3.0625,3.0625,inf,llama,15,32x
76,20776,asst,0.0,3.0625,3.0625,inf,llama,15,32x
78,29707,asst,0.0,3.046875,3.046875,inf,llama,15,32x
79,84495,asst,0.0,2.989605665206909,2.989605665206909,inf,llama,15,32x
83,89065,asst,0.0,2.96875,2.96875,inf,llama,15,32x
84,102157,asst,0.0,2.96875,2.96875,inf,llama,15,32x
82,91133,asst,0.0,2.96875,2.96875,inf,llama,15,32x
81,30834,asst,0.0,2.96875,2.96875,inf,llama,15,32x
80,93010,asst,0.0,2.96875,2.96875,inf,llama,15,32x
85,22863,asst,0.0,2.953125,2.953125,inf,llama,15,32x
86,45938,asst,0.0,2.953125,2.953125,inf,llama,15,32x
88,81218,asst,0.0,2.953125,2.953125,inf,llama,15,32x
87,111071,asst,2.765625,5.71875,2.953125,2.0677966101694913,llama,15,32x
90,32743,asst,0.0,2.9375,2.9375,inf,llama,15,32x
89,117289,asst,0.0,2.9375,2.9375,inf,llama,15,32x
91,125478,asst,0.0,2.9357638359069824,2.9357638359069824,inf,llama,15,32x
92,91492,asst,0.0,2.9328653812408447,2.9328653812408447,inf,llama,15,32x
93,65718,asst,0.0,2.932692289352417,2.932692289352417,inf,llama,15,32x
94,26260,asst,0.0,2.921875,2.921875,inf,llama,15,32x
95,21878,asst,0.0,2.921875,2.921875,inf,llama,15,32x
97,124468,asst,0.0,2.90625,2.90625,inf,llama,15,32x
98,19914,asst,0.0,2.90625,2.90625,inf,llama,15,32x
96,18449,asst,0.0,2.90625,2.90625,inf,llama,15,32x
99,48182,asst,0.0,2.890625,2.890625,inf,llama,15,32x
100,87780,asst,0.0,2.875,2.875,inf,llama,15,32x
