experiment_id,config_name,ifeval_pct_change,harm_pct_change,display_name,mmlu_pro_pct_change,eq_bench_pct_change,gsm8k_pct_change,sum_decrease
layers_34:38-p0.5,pc1_role_trait,-3.0063291139240467,-43.43434343434344,"Layers 34-37, 50th",-4.343220338983046,-6.523852575318596,-0.6188118811881194,-14.492213909413808
layers_50:58-p0.25,pc1_role_trait,-3.164556962025312,-37.1007371007371,"Layers 50-57, 25th",-2.7542372881355934,-8.140911436897454,-0.4950495049504955,-14.554755192008855
layers_58:62-p0.75,pc1_role_trait,-2.3734177215189876,-42.779142779142774,"Layers 58-61, 75th",-4.131355932203381,-6.194216147744343,-1.856435643564358,-14.555425445031071
layers_52:56-p0.75,pc1_role_trait,-2.056962025316443,-42.23314223314224,"Layers 52-55, 75th",-4.343220338983046,-6.306555380083832,-1.856435643564358,-14.56317338794768
layers_56:60-p0.5,pc1_role_trait,-1.5822784810126487,-40.26754026754027,"Layers 56-59, 50th",-4.2372881355932215,-6.950889408845056,-1.856435643564358,-14.626891669015285
layers_30:34-p0.75,pc1_role_trait,-1.8987341772151782,-40.81354081354081,"Layers 30-33, 75th",-3.389830508474568,-6.277531079825131,-3.0940594059405964,-14.660155171455473
layers_48:52-p0.75,pc1_role_trait,-2.689873417721517,-44.96314496314496,"Layers 48-51, 75th",-3.8135593220338952,-6.306555380083832,-1.856435643564358,-14.666423763403603
layers_58:62-p0.5,pc1_role_trait,-2.2151898734177227,-42.01474201474201,"Layers 58-61, 50th",-4.661016949152533,-6.194216147744343,-1.6089108910891103,-14.679333861403709
layers_32:36-p0.25,pc1_role_trait,-3.3227848101265764,-48.78514878514878,"Layers 32-35, 25th",-3.1779661016949206,-7.11557448930695,-1.1138613861386149,-14.73018678726706
layers_32:48-p0.75,pc1_role_trait,-2.689873417721517,-42.23314223314224,"Layers 32-47, 75th",-3.9194915254237186,-6.3611297926448245,-1.856435643564358,-14.826930379354419
layers_34:42-p0.75,pc1_role_trait,-3.164556962025312,-39.61233961233962,"Layers 34-41, 75th",-3.283898305084744,-6.308236484836119,-2.103960396039606,-14.86065214798578
layers_54:62-p0.75,pc1_role_trait,-2.056962025316443,-42.01474201474201,"Layers 54-61, 75th",-4.555084745762708,-6.194216147744343,-2.2277227722772297,-15.033985691100725
layers_50:54-p0.5,pc1_role_trait,-3.0063291139240467,-42.12394212394213,"Layers 50-53, 50th",-3.1779661016949206,-6.512196523462083,-2.3514851485148536,-15.047976887595905
layers_0:64-p0.25,role_trait,-3.7974683544303707,-67.02156702156702,"All Layers (0-63), 25th",-7.521186440677965,-4.598545488526058,0.8663366336633532,-15.050863649971042
layers_40:44-p0.25,pc1_role_trait,-3.164556962025312,-39.93993993993994,"Layers 40-43, 25th",-1.8008474576271156,-8.602308684034234,-1.4851485148514862,-15.052861618538149
layers_36:40-p0.01,pc1_role_trait,-2.848101265822782,-44.74474474474475,"Layers 36-39, 1st",-2.966101694915257,-7.891302962986798,-1.3613861386138624,-15.066892062338699
layers_36:44-p0.5,pc1_role_trait,-2.056962025316443,-39.72153972153972,"Layers 36-43, 50th",-4.343220338983046,-6.6941853916700715,-2.103960396039606,-15.198328152009166
layers_50:58-p0.75,pc1_role_trait,-1.8987341772151782,-44.417144417144414,"Layers 50-57, 75th",-5.08474576271186,-6.370604226630405,-1.856435643564358,-15.210519810121802
layers_34:38-p0.25,pc1_role_trait,-3.3227848101265764,-47.6931476931477,"Layers 34-37, 25th",-3.495762711864408,-7.532913984039004,-0.8663366336633671,-15.217798139693356
