filenames,role_path_lengths,trait_path_lengths,role_max_jump,trait_max_jump,role_pc1_path_length,role_pc1_max_jump
therapy_persona14_topic2,1689.4940266697718,1025.3230037229437,144.551358282991,101.11687290884552,141.13329395418845,46.786058452242486
therapy_persona14_topic19,1592.032646490664,1044.400231768578,179.515785571171,111.64838212034388,126.01597378728509,28.992712275827426
therapy_persona14_topic18,1624.0466456650884,1033.9555820692722,136.8894811457122,87.93809499284043,83.0923868420875,28.890627810618547
therapy_persona14_topic17,2242.766069534638,1462.0886004010824,185.04165874657335,122.11226436606987,116.45046754827627,42.78313216957913
therapy_persona14_topic16,1691.0971298794984,1109.8029255523686,167.61746588617515,101.65010740222365,122.41039688049186,23.26475171564882
therapy_persona14_topic15,1603.16011379378,973.6886452770332,137.2082361914821,80.30756296671899,49.26566731381143,14.518175309589129
therapy_persona14_topic14,1541.287515850473,958.1326128509116,152.66290131354987,98.99119937613365,93.82702569105834,25.252791953966945
therapy_persona14_topic13,1577.4016066442302,996.6517924227824,145.33474617678425,82.37363247927685,62.953949024611916,19.6450466125999
therapy_persona14_topic12,1840.517878985084,1208.7174245762972,114.56229846098668,76.17834719784932,76.39525904183017,16.72341733986938
therapy_persona14_topic11,1660.5008340438571,1096.1038752271525,144.2990022903961,88.35762779049027,95.69848527501831,12.493536838433531
therapy_persona14_topic10,1126.0859391193032,714.975247053943,112.2187912661037,69.68907529445526,132.46114048610644,23.968350761508002
therapy_persona14_topic1,2048.7577873560986,1311.0887181575868,164.68220771983647,96.57939232584386,104.07386549640714,27.93715936732727
therapy_persona14_topic0,1752.1359794471496,1148.4500461718324,153.4038534453436,94.34602051106705,110.80235820788236,30.625833793807267
therapy_persona13_topic9,1901.1346761356303,1204.739178045994,164.48160695276331,107.11153537031144,73.9813476566471,30.965894752758196
therapy_persona13_topic8,1556.176971235808,941.4987513495372,130.31167346720423,86.36585947614296,41.91379530878946,7.8993685391205055
therapy_persona13_topic7,1753.9092885955963,1137.3366022239436,114.76823268077447,75.62704471001486,50.260415731171555,12.862105119151312
therapy_persona13_topic6,1880.8277450752505,1228.7651998915765,113.42583582594983,72.99445892440987,56.0626337356021,9.814266749865176
therapy_persona13_topic5,1954.7027531646909,1223.675354312514,110.06607352465265,72.33509394297621,58.96058725429693,9.931452616874553
therapy_persona13_topic4,1620.0797797598816,1004.2679650199592,199.4669045249499,139.10390878964074,74.95885277348823,36.79260645754445
therapy_persona13_topic3,1347.4775277181825,830.4422246786085,91.82605076659206,57.050244070321995,52.67882237814207,8.461601622331521
therapy_persona13_topic2,1688.1378611402745,1028.8797215181191,152.44497976352642,97.62698465144094,80.65775970453612,15.408309157119955
therapy_persona13_topic19,1737.7960067132822,1115.2317728586595,143.40063090409603,94.0281047119596,70.90097585365108,17.683282945382327
therapy_persona13_topic18,2045.581189036153,1295.001408596674,115.83258586731517,84.50431671394641,86.2656852626051,15.595726592778057
therapy_persona13_topic17,2117.4724822673948,1272.5292358583815,134.50982531394806,96.55045046963349,101.29994146712752,13.744174764880572
therapy_persona13_topic16,1721.1842528308246,1119.274047434118,184.3113863463422,125.87526131621978,56.79128098525761,20.926146532824113
therapy_persona13_topic15,1719.2383193134654,1053.1063024529683,126.75847583264223,86.56840600732417,58.141513243524805,14.148813171772131
therapy_persona13_topic14,1609.995112529772,1045.0616242927017,102.07998108594148,59.06682781525619,26.505200733779468,6.006124111592228
therapy_persona13_topic13,1475.2811091711635,907.1608514956108,157.7061225138464,101.53054367351653,44.73759872756342,11.895508254731016
therapy_persona13_topic12,1907.5126672243364,1202.7464878353471,194.52759765353596,129.19235425485599,107.99520948968322,50.86283509922929
